sample_id,user_hash,timestamp,method,true_latitude,true_longitude,estimated_latitude,estimated_longitude,error_radius_m,signal_strength,num_base_stations,urban_density,weather_condition,time_of_day,day_of_week,actual_error_m
252,bf0bc1e6,2025-06-30T07:35:02.421073,triangulation,-6.092701957738792,106.62230727836621,-6.082644408558693,106.62502522779351,1124.1465331304782,-43,7,low,rainy,7,0,1158.021693691125
253,7afc11b7,2025-07-01T05:11:02.421077,gps,-6.115337049471346,106.82040335561376,-6.115409248699802,106.82042551416552,8.702213263048655,-74,7,medium,rainy,5,1,8.393676083640147
254,6c921a61,2025-06-27T00:59:02.421083,wifi,-6.366754871043034,106.64501006862025,-6.366937919885079,106.6448566035326,28.99682866196839,-38,7,medium,rainy,0,4,26.493527291408046
255,d30ed076,2025-07-02T22:09:02.421092,triangulation,-6.183339360813186,106.82606152764365,-6.176704575963931,106.83302682403344,1150.75154071097,-40,7,high,clear,22,2,1066.3905026818231
256,8e8daf28,2025-07-04T11:22:02.421098,triangulation,-6.350537782834998,106.99874975350085,-6.348153509370749,106.99421784551423,826.7724649159604,-61,3,high,cloudy,11,4,566.6771379045289
257,13ba193b,2025-06-22T12:00:02.421102,triangulation,-6.361250374740572,106.79326225311428,-6.372694051502425,106.78355585609721,1292.68318438712,-44,7,high,clear,12,6,1664.262461012289
258,9a64eba7,2025-06-29T01:05:02.421107,gps,-6.013312872610614,106.7471754642351,-6.013342005512773,106.74719147916605,3.9018633565815537,-63,7,medium,cloudy,1,6,3.691921500583334
259,7a96682b,2025-07-04T16:07:02.421112,wifi,-6.0004409065317414,106.81313703563895,-6.000614144079573,106.81299840135881,25.324244244729265,-56,2,medium,cloudy,16,4,24.619239569024156
260,3c610753,2025-06-15T02:34:02.421117,wifi,-6.220435003265756,106.87528996249594,-6.220878756729467,106.8753967709056,57.66494644068679,-47,2,high,clear,2,6,50.73599531424533
261,bf79a9b8,2025-07-05T08:44:02.421127,cell_id,-6.343799722786424,106.77258440745686,-6.345269346139618,106.7802882577117,2888.51529344828,-36,6,medium,clear,8,5,866.9236113179101
262,115e80d6,2025-06-14T05:02:02.421132,gps,-6.021351418077931,106.985890350489,-6.021394657832277,106.98585992314314,7.652481311920159,-66,5,medium,clear,5,5,5.868429658224081
263,188768e4,2025-07-13T04:25:02.421137,triangulation,-5.901322350510868,106.86965067137447,-5.902797964719269,106.87524369482857,669.3696162221403,-87,6,low,cloudy,4,6,640.009487085243
264,e2d22528,2025-06-28T22:58:02.421142,gps,-6.370998376517867,106.73746047297652,-6.370970759365938,106.73742238596115,4.674868810279246,-81,5,low,rainy,22,5,5.210126990925524
265,23c0b254,2025-07-07T13:40:02.421151,triangulation,-6.223917739510876,106.63175973007588,-6.231851488927652,106.62149935264772,1369.390199840069,-49,8,high,cloudy,13,0,1436.8724471446408
266,a56e62dc,2025-07-12T22:04:02.421158,gps,-6.097303273091045,106.70659233822985,-6.097242907159617,106.70657379296084,13.662253209063843,-58,3,medium,cloudy,22,5,7.018586859969055
267,894f53ba,2025-06-25T18:04:02.421165,gps,-6.131220820882151,106.99330865993055,-6.131306187930632,106.9932874201287,10.1939127313862,-58,7,medium,clear,18,2,9.778527510549312
268,2eda0d69,2025-07-01T05:48:02.421172,cell_id,-6.055825473587611,106.75972343502359,-6.075889093237101,106.78000230164115,2297.8364540888215,-33,8,low,cloudy,5,1,3163.0788898997666
269,e7c66814,2025-06-14T19:39:02.421177,gps,-6.027810368718055,106.72527288943891,-6.027790547775883,106.7253052616224,3.9131910403741035,-53,5,medium,cloudy,19,5,4.203803359216289
270,2c01dc3e,2025-07-03T03:49:02.421182,wifi,-6.292615807364588,106.63495309695615,-6.2921978067416795,106.63472287919508,48.70050376714623,-60,1,medium,clear,3,3,52.98856078432273
271,03f340a5,2025-06-30T19:37:02.421186,wifi,-6.364546815452988,106.92916220337719,-6.364876801897488,106.92892198784104,43.75233926623253,-64,4,high,clear,19,0,45.28862002238218
272,4b193ac7,2025-07-02T23:28:02.421191,triangulation,-6.234961355759068,106.63393241500897,-6.226362276880905,106.64373094447298,1808.7170639218807,-49,8,low,cloudy,23,2,1444.7829260443061
273,15d0d0de,2025-06-24T20:17:02.421196,triangulation,-6.267478991208299,106.83307291104272,-6.271238186166195,106.8427118151995,1999.5880530188467,-48,2,low,rainy,20,1,1144.4549208631786
274,3f2511e2,2025-06-20T06:20:02.421201,wifi,-6.227614217209055,106.95563518438563,-6.228191251950324,106.9561701620864,91.53852127485993,-80,4,low,rainy,6,4,87.25805529225028
275,4140794f,2025-07-12T22:59:02.421210,wifi,-6.395016003553227,106.83789961849207,-6.394428375616157,106.83758856109219,68.33040194219524,-89,6,medium,cloudy,22,5,73.83067137378293
276,ad8e6acc,2025-07-01T03:17:02.421215,wifi,-6.342152601898364,106.79462954634486,-6.342135316549555,106.79479830793858,20.13704529531809,-52,6,medium,cloudy,3,1,18.74936490028154
277,f1851e24,2025-07-14T07:20:02.421220,triangulation,-5.976600878924192,106.79164752027467,-5.979859898135352,106.79893584981185,1027.4394698611204,-36,5,low,clear,7,0,883.7355949949052
278,65b76c22,2025-06-26T17:53:02.421225,cell_id,-6.325232897134894,106.71277670032802,-6.3201479511000125,106.70279710469686,1766.6572393226459,-66,6,high,clear,17,3,1239.4176447940165
279,c7fcb1ef,2025-06-25T14:27:02.421230,wifi,-6.264719103473558,106.71626063350925,-6.264486661179235,106.71610567714279,26.94187160497441,-47,8,medium,rainy,14,2,31.00623937540214
280,93607432,2025-06-23T08:57:02.421235,triangulation,-6.379283711308519,106.87187990760502,-6.383155371242217,106.86665521407066,1010.3944332000112,-76,2,high,cloudy,8,0,720.1961861687679
281,5a84e612,2025-06-21T23:09:02.421239,triangulation,-6.364692091231035,106.95061754783096,-6.363145854741892,106.95350212560489,778.3537950159009,-34,7,high,cloudy,23,5,362.18502916231597
282,3a410317,2025-06-29T21:35:02.421244,cell_id,-6.058742746950417,106.79209980087613,-6.0629148170808564,106.79460797822686,2313.2309437552935,-35,6,medium,cloudy,21,6,540.4918888176452
283,d6e59d80,2025-06-18T10:32:02.421249,wifi,-6.183487898277398,106.96351669499509,-6.183379390649867,106.96302783285044,88.7169752111396,-37,3,medium,rainy,10,2,55.37322227053393
284,7bf015af,2025-06-14T21:53:02.421253,wifi,-6.206505581650582,106.87409683670137,-6.206550832461397,106.87441197114453,87.30146932279504,-32,6,medium,cloudy,21,5,35.19746921038663
285,f012b522,2025-06-17T00:50:02.421266,wifi,-6.1976345439459655,106.72792584611858,-6.197533120175633,106.72776600782782,50.48109334946321,-42,6,high,rainy,0,1,20.961733133425223
286,50f233af,2025-07-09T21:25:02.421277,wifi,-6.136387735441369,106.73018282852927,-6.136617560819519,106.73057029160094,49.20342189883712,-33,7,medium,rainy,21,2,49.88078681122838
287,9dc07cdc,2025-07-08T17:55:02.421282,cell_id,-6.2794187301961815,106.61153107903455,-6.263297770785717,106.6013657234939,3381.9781936635154,-89,5,low,cloudy,17,1,2115.588941006184
288,99794cda,2025-07-08T01:19:02.421287,cell_id,-6.096936400796693,106.76465189629116,-6.111664132004819,106.74381835526565,2433.6266664840114,-86,2,medium,rainy,1,1,2826.264544803372
289,8b3b4b61,2025-06-26T13:43:02.421292,gps,-6.010794714838342,106.99714622334128,-6.010762669378799,106.99710729147604,8.713762809578302,-89,5,medium,cloudy,13,3,5.588561812833433
290,23eb94d6,2025-06-26T03:03:02.421296,gps,-6.064256721466323,106.75412815410924,-6.064271069690869,106.75417410938579,11.897067942398767,-40,8,low,cloudy,3,3,5.325980468873764
291,12479ebd,2025-06-30T08:25:02.421301,wifi,-6.138349661183923,106.94259449310216,-6.137977819603941,106.9423799062046,73.71966098897565,-71,7,low,rainy,8,0,47.66972341870053
292,a6d3233b,2025-06-27T09:56:02.421306,cell_id,-6.0447259842560035,106.80976599440233,-6.044327417999679,106.79844728814267,1305.6354897605497,-59,6,high,clear,9,4,1252.369860396752
293,1ae86afc,2025-06-28T03:34:02.421316,gps,-6.302211573769746,106.66935964699277,-6.302222530700342,106.66938365422074,7.360629038350803,-88,2,low,rainy,3,5,2.9197007860402127
294,acce2950,2025-07-03T11:25:02.421320,cell_id,-5.916000078467229,106.73786503823958,-5.87759656251871,106.72994669483819,4730.159988054365,-49,2,high,rainy,11,3,4359.165058782581
295,85fe47c1,2025-06-13T21:42:02.421330,gps,-6.297034999163219,106.94668670302029,-6.296991058010513,106.94665765897562,6.8405857039990305,-30,7,medium,cloudy,21,4,5.846181777549608
296,b8df3033,2025-06-22T22:35:02.421336,triangulation,-6.036740839511089,106.75070571851023,-6.031709177301427,106.75132922442218,617.8635118722175,-62,4,high,rainy,22,6,563.7274423835195
297,553ab915,2025-07-12T20:58:02.421341,cell_id,-6.047758285193366,106.64212385431183,-6.048198584369298,106.64269207766348,4563.912520337096,-63,7,high,cloudy,20,5,79.65445133632433
298,9d79c547,2025-06-27T18:31:02.421345,triangulation,-6.199910127873816,106.73292902083539,-6.192634999497231,106.7408288962301,1476.6303817775567,-38,6,high,cloudy,18,4,1190.4011655380734
299,0ef13f34,2025-07-07T13:26:02.421350,cell_id,-5.974942507506147,106.80277779352805,-6.00204778771739,106.79744943705167,3711.9756209577517,-40,1,high,clear,13,0,3071.03110181914
300,7f961c4d,2025-07-01T03:37:02.421355,gps,-6.232022886948234,106.77969569300824,-6.232141707840944,106.77982177710187,14.403418604726351,-51,4,low,clear,3,1,19.20432128321393
301,a681a15b,2025-07-05T12:18:02.421360,wifi,-6.158428301136253,106.77239379225348,-6.158258532648252,106.77240676850326,28.920073702586773,-67,7,medium,clear,12,5,18.931825238582785
302,a141b154,2025-06-19T20:02:02.421365,wifi,-6.042488876646002,106.96335673478657,-6.042702952102293,106.96334069050755,71.5068672018621,-61,3,medium,clear,20,3,23.8701264412109
303,4c8efea5,2025-06-13T20:39:02.421369,gps,-6.0621826496852,106.95429171518975,-6.062165341593986,106.95437404395868,12.127656229174839,-64,8,high,rainy,20,4,9.304564715806785
304,0f1e9601,2025-07-04T09:12:02.421379,cell_id,-6.242071610816436,106.77917395424329,-6.243995084091307,106.77423321351559,1042.670366108231,-59,5,medium,rainy,9,4,586.5149491013599
305,adfd2cc8,2025-06-24T11:28:02.421388,wifi,-6.238536939075179,106.67881867288231,-6.2384418370200345,106.67865505285906,28.332476167143838,-77,6,low,cloudy,11,1,20.95066458414556
306,6bbba0cc,2025-07-04T02:48:02.421394,wifi,-6.035564986857357,106.91857498946864,-6.036353501841798,106.91783167017626,87.9822484763026,-35,4,high,cloudy,2,4,120.18161244481114
307,68d780da,2025-06-19T06:24:02.421399,triangulation,-6.046044726008974,106.99266547592602,-6.046634516144121,106.98471440038513,1984.9535572050502,-34,4,medium,clear,6,3,881.6434851439121
308,c7f712d1,2025-07-05T23:33:02.421404,wifi,-5.901880744559963,106.8817403710877,-5.901990911906569,106.8818931685816,19.611569347830105,-84,6,high,cloudy,23,5,20.872998161182988
309,cafb8c81,2025-06-25T23:01:02.421408,gps,-6.222936424717566,106.87620249474296,-6.222858570032552,106.8761657531102,14.621107744517778,-59,4,medium,rainy,23,2,9.562400295025665
310,4f6c52eb,2025-07-04T02:05:02.421413,cell_id,-6.171332517000123,106.69318736045494,-6.1702157665115065,106.67659145055872,2631.3891801406035,-75,2,low,clear,2,4,1838.8862307934376
311,d4dbf8e9,2025-07-12T00:31:02.421418,gps,-6.210748571695568,106.84255357767155,-6.21079404675579,106.84251110318593,13.551950157431326,-30,3,low,clear,0,5,6.90031276457297
312,873ef4c4,2025-06-25T10:23:02.421423,wifi,-6.243412715289692,106.65944841254178,-6.243318867120842,106.65940488728111,13.155469473858954,-56,1,high,clear,10,2,11.491080611921959
313,c4f54a95,2025-07-06T03:45:02.421428,triangulation,-5.939180911606297,106.81079367200041,-5.940109518091256,106.80906450843648,223.83907846849527,-55,8,medium,rainy,3,6,217.3369861020554
314,2094574b,2025-06-17T01:21:02.421433,cell_id,-6.032292555111016,106.8297338018028,-6.033399199384345,106.84806615521536,2271.7207882135017,-90,4,high,rainy,1,1,2030.906629488594
315,ea6c2bb5,2025-06-24T19:56:02.421442,triangulation,-6.119680634591403,106.8459713739166,-6.122012548981103,106.84246064688018,779.6579561183837,-77,4,high,rainy,19,1,466.79231459671297
316,aa91877d,2025-06-18T15:51:02.421448,triangulation,-6.359153976627516,106.70035514786727,-6.361103828906744,106.69465019032069,1388.9010230166375,-80,5,medium,clear,15,2,666.6974224436726
317,5ff6ee43,2025-06-13T08:05:02.421453,cell_id,-6.33754663599201,106.81786375125013,-6.33415331052829,106.8161913152364,735.9826187057732,-42,6,low,rainy,8,4,420.1584748751449
318,a830e086,2025-06-14T15:32:02.421458,cell_id,-6.3756986109822975,106.60809929856747,-6.37161468607905,106.61632875206372,3311.1066215816218,-62,6,low,clear,15,5,1016.4927911888549
319,c48dadae,2025-06-21T03:53:02.421462,wifi,-5.934680102976129,106.69258688081952,-5.934499152760595,106.69258634579916,26.614301248997688,-38,5,medium,cloudy,3,5,20.120832952344845
320,24a2fd52,2025-07-08T09:39:02.421467,triangulation,-6.079403761934228,106.70974679390964,-6.082100345230562,106.7081644423674,488.137198994717,-87,2,medium,rainy,9,1,347.1580030063821
321,1583e7e3,2025-06-20T16:44:02.421472,cell_id,-6.2143640852701765,106.8599013079188,-6.202567613505349,106.85319743434164,2789.380346074191,-30,2,medium,cloudy,16,4,1506.5703878744184
322,a8bac21e,2025-07-05T23:24:02.421481,wifi,-6.228457762448796,106.79212608141356,-6.22854292532559,106.79205973855093,16.534827289274855,-87,8,low,clear,23,5,11.977238448043487
323,47d2b1fd,2025-06-29T17:12:02.421488,cell_id,-6.00413995649251,106.99871199216243,-6.002399318110631,106.99993494589673,243.59183235542918,-62,3,medium,cloudy,17,6,236.1178819006415
324,6fb6ee5f,2025-06-18T12:57:02.421497,wifi,-6.077306598941309,106.85168184670464,-6.077363627629591,106.85163715185084,15.491643028877785,-80,3,high,cloudy,12,2,8.039562821802742
325,ec1e625d,2025-06-23T08:09:02.421507,cell_id,-6.187437155074083,106.7833674020624,-6.206040425855031,106.7812985012598,2327.0301225086873,-34,8,high,clear,8,0,2081.194069893416
326,fb56fca5,2025-06-15T12:53:02.421512,cell_id,-6.193499880535976,106.61619093236244,-6.19349822579619,106.61953481971912,1711.8378560768504,-49,6,high,clear,12,6,369.6531011090265
327,6e427c7d,2025-06-13T12:39:02.421517,triangulation,-6.086563999509866,106.64850468553341,-6.073199170760609,106.65239853898107,1803.7515008701337,-73,6,low,clear,12,4,1547.2111939948115
328,0c36da16,2025-06-16T05:07:02.421522,triangulation,-6.1099616946341975,106.79939916190834,-6.110977628537248,106.80179237071138,529.3898950842681,-57,3,low,rainy,5,0,287.70651184183106
329,88648f7a,2025-06-28T15:44:02.421527,triangulation,-6.130973015639309,106.92623906718856,-6.124762272991186,106.93268617328044,1811.0232293244553,-41,7,high,rainy,15,5,992.4722666077236
330,5bb179ab,2025-07-06T08:13:02.421531,cell_id,-6.316927235259907,106.97831320131645,-6.313431677835412,106.97500344485093,3229.3091961957944,-59,7,high,clear,8,6,533.7456779626523
331,6b40557e,2025-06-13T15:07:02.421536,triangulation,-6.297512309347802,106.85323537031525,-6.297088220884989,106.85493317088448,194.1129645778365,-62,7,medium,cloudy,15,4,193.4822759031674
332,22ab7b8e,2025-07-06T07:17:02.421541,cell_id,-5.970607335822384,106.71260958950866,-5.958936834844713,106.72572256459965,2217.534595696278,-71,2,medium,clear,7,6,1946.0505678354136
333,853d69aa,2025-07-13T22:22:02.421553,triangulation,-6.370255986153101,106.86926841041611,-6.36487459368209,106.87107698558158,815.6035918981976,-46,8,low,clear,22,6,630.879051470701
334,cbd88a02,2025-06-23T21:13:02.421558,triangulation,-5.953604697223669,106.7119946276424,-5.965176930426167,106.7123601698369,1517.7743072474632,-30,3,low,cloudy,21,0,1287.4085126456455
335,04c1c1e5,2025-07-07T02:44:02.421568,triangulation,-6.082351166931836,106.68651208739168,-6.091640578297201,106.67597853281532,1632.719929375895,-65,8,low,clear,2,0,1556.7342668919462
336,6c8cb5c4,2025-07-02T02:09:02.421573,triangulation,-5.969937397494759,106.67331577502436,-5.979592989021512,106.68332169153264,1347.8565906505787,-62,4,medium,rainy,2,2,1541.8212037439325
337,692d2007,2025-07-03T22:59:02.421582,cell_id,-6.292720894526616,106.91181696402833,-6.296929254398694,106.90528953598964,2497.6117797453485,-70,6,low,clear,22,3,859.9142137149036
338,4f9a43f3,2025-06-22T01:21:02.421588,cell_id,-5.9331485447057695,106.61289269838095,-5.906605155492086,106.62424764726133,3707.329170973422,-33,6,high,clear,1,6,3207.573432771477
339,8c33a63e,2025-06-30T23:46:02.421592,gps,-6.263969967619946,106.86164851782739,-6.263927427968501,106.8615679919068,11.250102524767815,-46,6,low,cloudy,23,0,10.079469219068494
340,d4f9da88,2025-07-02T11:02:02.421601,cell_id,-6.149010452710094,106.6378489739564,-6.153749987839727,106.63677186173626,3929.1782399543586,-55,8,medium,cloudy,11,2,540.297996452708
341,92a3c585,2025-06-17T08:30:02.421607,triangulation,-6.300389490148686,106.93547103671621,-6.303827874028445,106.9348012635002,817.5978365136491,-31,5,medium,rainy,8,1,389.4311519606063
342,69d81e82,2025-06-24T14:39:02.421611,cell_id,-6.319156481236976,106.87241357750116,-6.32661133056767,106.87846820283559,1956.7034088737191,-48,2,high,cloudy,14,1,1065.3184253418651
343,4f65a4ed,2025-06-22T23:00:02.421616,wifi,-6.11270957032046,106.73473700104303,-6.112996973386798,106.73443495687332,40.82088790986441,-64,6,low,cloudy,23,6,46.22242054678597
344,153e36b1,2025-06-14T08:43:02.421620,wifi,-6.135573711568144,106.7377709579237,-6.1352449961450555,106.73760016684705,54.403052500769874,-78,7,high,clear,8,5,41.14065268674214
345,fa122829,2025-07-06T22:35:02.421629,triangulation,-6.313263685294299,106.80050676867954,-6.312377486591374,106.80043840063368,380.08674746213626,-37,4,high,cloudy,22,6,98.83007441959302
346,1fc63dfe,2025-06-13T18:30:02.421635,cell_id,-6.374904012156894,106.67651477326736,-6.379288066090264,106.65222315316458,3216.729072404724,-43,2,medium,rainy,18,4,2728.296028365631
347,e5eb1411,2025-06-26T09:13:02.421640,gps,-6.083109299183015,106.86309882370385,-6.083098460325147,106.86308412266793,6.28340868277472,-58,7,low,rainy,9,3,2.0235469642842197
348,342aeae6,2025-07-12T05:12:02.421645,triangulation,-6.149812437528263,106.7254270717929,-6.142766578875211,106.74080460255944,1971.0728742224546,-42,7,high,cloudy,5,5,1871.9157768818427
349,45c2be0e,2025-07-07T06:57:02.421650,wifi,-6.341325201059445,106.60056084404351,-6.341410295192587,106.60042978776413,17.072863078768933,-46,6,high,rainy,6,0,17.30045201754807
350,a462e22b,2025-06-20T05:01:02.421655,cell_id,-6.214015138986723,106.92659971275505,-6.210762817494319,106.9288734398028,856.2773010711845,-52,8,low,rainy,5,4,440.4061632473045
351,3f62acb9,2025-07-01T10:12:02.421659,gps,-6.200225879284244,106.84193100134844,-6.200108203162174,106.84186050204204,14.059878222766443,-43,2,medium,rainy,10,1,15.229990275341152
352,ee94b68a,2025-06-18T11:37:02.421664,gps,-5.950010463598985,106.90516613625755,-5.949937522695725,106.9052242245046,12.506942053217873,-58,6,high,cloudy,11,2,10.346723570418744
353,3801b72b,2025-06-26T15:31:02.421669,wifi,-6.0941199485768385,106.96971910295494,-6.0944850534229875,106.97002283094365,70.53436486475726,-32,7,high,clear,15,3,52.687211528648625
354,7e5caee7,2025-06-30T22:47:02.421673,gps,-6.048885268798424,106.6407126814557,-6.048869588736837,106.64060656049095,14.736918949055426,-43,1,low,rainy,22,0,11.863238115987741
355,d918cd23,2025-06-27T09:24:02.421683,gps,-6.191768665787297,106.9233881318816,-6.191715539725616,106.92338421751738,12.485435319738663,-84,8,high,cloudy,9,4,5.923175826051001
356,94989c78,2025-06-21T02:41:02.421693,wifi,-6.247914876091169,106.70427501055262,-6.248487790493649,106.70412415612203,99.2078360773086,-36,1,low,cloudy,2,5,65.85128504390356
357,bfdcf5b2,2025-07-02T06:09:02.421699,triangulation,-6.172332667952901,106.72203698078098,-6.169385222079517,106.71728355744892,538.5362385671682,-63,8,medium,cloudy,6,2,619.3206775799342
358,5bf5c8b2,2025-07-05T14:00:02.421705,cell_id,-6.292433868447326,106.77774690417587,-6.316049907818264,106.78083840879874,3737.3996354592164,-30,7,medium,rainy,14,5,2648.1194350855685
359,6061084d,2025-07-03T12:03:02.421710,triangulation,-6.281190027012043,106.85751890976326,-6.284964724731554,106.8459887386631,1433.8963106821243,-74,6,low,clear,12,3,1341.7356524409522
360,ced24f4d,2025-07-02T13:57:02.421715,triangulation,-6.014851206082566,106.86838097991253,-6.029593347834937,106.86755928667428,1845.1377734875418,-43,6,medium,clear,13,2,1641.7677368836758
361,80d2a8d1,2025-06-21T21:10:02.421719,wifi,-6.191582803456867,106.70561418409014,-6.191467412099839,106.70558216246185,14.896500295678894,-77,4,low,cloudy,21,5,13.310280075685151
362,23fae2a9,2025-06-30T15:41:02.421724,gps,-6.339411680574769,106.9906441439015,-6.339432703050699,106.99064971043911,3.9719809359844254,-48,8,high,clear,15,0,2.417187030322703
363,0ac2c21b,2025-06-18T11:21:02.421728,gps,-6.372649626753319,106.97185827912078,-6.37267666546043,106.97189162349824,9.513445904864865,-37,6,high,cloudy,11,2,4.755766074278465
364,c046814d,2025-06-14T03:42:02.421733,gps,-6.372946300808926,106.64880314122172,-6.372915933604988,106.64879316827387,8.88881978142706,-77,3,low,rainy,3,5,3.5519797526278074
365,50871655,2025-07-02T10:10:02.421739,cell_id,-6.175375614892463,106.89578433935891,-6.17405577879673,106.93463813423351,4393.8875858171195,-37,7,medium,clear,10,2,4297.786969839467
366,3456c3ce,2025-06-20T14:35:02.421744,gps,-6.054529807219847,106.89761749087867,-6.054493960347932,106.89766226915236,6.531666602049606,-76,3,medium,clear,14,4,6.356407736397826
367,1ef11318,2025-06-22T11:23:02.421749,triangulation,-6.167328535435215,106.60035740337602,-6.162566935737971,106.61039970030733,1653.814392100762,-78,8,low,rainy,11,6,1229.9862732166725
368,6854be36,2025-07-04T14:08:02.421754,wifi,-6.307688407085278,106.7038806939398,-6.307662962170611,106.70400041171584,16.015391328445034,-77,5,low,cloudy,14,4,13.53054749586314
369,b27f515b,2025-06-15T08:04:02.421759,wifi,-6.335181793728467,106.7727463398528,-6.335398605727668,106.77276554014564,84.07326657784613,-30,5,low,cloudy,8,6,24.201596964473897
370,f9684b22,2025-07-14T05:37:02.421763,wifi,-6.006953276576634,106.68088716339221,-6.006416190885273,106.68162306001126,98.46026303289095,-56,5,medium,clear,5,0,100.9411543422763
371,ce7256d6,2025-06-27T12:41:02.421768,gps,-6.32486858707391,106.85487548972543,-6.324883547844167,106.85494490435505,13.214229522679082,-90,8,low,cloudy,12,4,7.8498711810962005
372,720ac1cb,2025-06-16T23:14:02.421773,cell_id,-6.018770745814997,106.92186834961778,-6.0167967143991,106.92994021761635,1100.0102571108246,-61,1,low,cloudy,23,0,919.1977229150293
373,80e859b5,2025-06-14T13:25:02.421777,gps,-6.286392169749741,106.74164864013353,-6.286311046737594,106.74157782983656,12.863144307246591,-51,2,high,cloudy,13,5,11.94241984859516
374,228f53a2,2025-06-17T23:08:02.421782,wifi,-6.1734894964131914,106.85021620554934,-6.172776408825076,106.8497534779113,91.54670525957668,-58,5,high,rainy,23,1,94.36085992135844
375,f22d1816,2025-07-05T04:18:02.421788,cell_id,-6.003599134326728,106.92976864106244,-6.025376236132802,106.95883902262658,4803.005684716693,-62,2,medium,clear,4,5,4024.65911240025
376,352fc82c,2025-07-08T21:54:02.421793,wifi,-6.2102657993367,106.74573798666722,-6.21026370101687,106.74600771640968,70.42949774198112,-43,1,low,clear,21,1,29.81748335299776
377,d164a4c2,2025-06-29T03:18:02.421799,triangulation,-6.377822173321504,106.79569736038752,-6.375848512436114,106.79653868684909,562.0873727871428,-78,8,low,clear,3,6,238.342266634881
378,c5313fdb,2025-06-25T16:53:02.421804,gps,-6.243264186866444,106.70358018979303,-6.243384384723523,106.70370633732553,14.3925295694416,-52,7,low,rainy,16,2,19.31482528547588
379,1a2525d3,2025-07-13T03:59:02.421809,triangulation,-6.10315708431405,106.64251380969593,-6.1142087039456,106.65639173561516,1574.2579628624233,-31,5,low,clear,3,6,1965.837426374707
380,cf5dd911,2025-06-22T19:09:02.421814,cell_id,-6.005842960281715,106.88984093804126,-6.002889102922164,106.89087557428506,547.1256299775733,-35,3,high,cloudy,19,6,347.81147931097973
381,a73f2f61,2025-06-15T10:39:02.421818,triangulation,-6.0084679434063055,106.73713611000545,-6.011010407401446,106.73414281905063,822.6283064575474,-71,8,high,rainy,10,6,435.3064882341185
382,e91a5acf,2025-06-27T16:56:02.421823,wifi,-6.118347855085507,106.72982216805994,-6.118305371231141,106.72980789265407,11.814566493234576,-62,2,medium,clear,16,4,4.980676493138734
383,e76e892c,2025-07-04T12:15:02.421828,triangulation,-6.349852346392775,106.80722040110292,-6.350062532471168,106.80744767854354,151.65185989676058,-79,6,high,cloudy,12,4,34.308878653407895
384,a39c04d0,2025-06-29T11:04:02.421833,triangulation,-6.302693419531592,106.74924269416772,-6.303593691577517,106.74519532136671,498.21297239699413,-48,5,medium,clear,11,6,458.3910713655217
385,7939651d,2025-07-09T11:32:02.421840,triangulation,-5.970713367129069,106.92714312708627,-5.970885092305008,106.92591039042445,273.31635490802614,-67,5,low,rainy,11,2,137.6612037859496
386,7affbd21,2025-06-26T09:40:02.421845,wifi,-6.275956919980835,106.8392025025246,-6.275769841300078,106.83943168156699,35.081149542237256,-45,6,low,cloudy,9,3,32.77777134292789
387,b37f5eac,2025-06-23T12:22:02.421849,cell_id,-6.066208158756669,106.99852050219903,-6.069120621185422,106.99108292985699,1530.697824118065,-89,8,low,cloudy,12,0,883.8552551208667
388,e612e0a2,2025-06-18T01:42:02.421856,gps,-6.2842582889908964,106.65890103758775,-6.284213017282206,106.65887840782895,6.044693531058709,-75,6,low,clear,1,2,5.621118234150467
389,ce930727,2025-06-16T07:16:02.421864,wifi,-6.122003845940526,106.9780368187135,-6.121907458046249,106.97802256042385,12.894854408029081,-90,5,low,clear,7,0,10.833155575431581
390,0eb20355,2025-07-07T20:07:02.421869,wifi,-6.3214927915298365,106.90614980923972,-6.321509779195237,106.9062200316736,96.33835953121473,-56,1,high,clear,20,0,7.9874707657841695
391,db22cbf3,2025-07-11T15:43:02.421873,triangulation,-6.123184967197459,106.73649580670762,-6.126383916750885,106.74091735082648,1137.05975045652,-86,4,high,rainy,15,4,604.5648805272533
392,7f242e29,2025-06-21T18:40:02.421878,cell_id,-6.330726765216266,106.662612839833,-6.334788678775658,106.66736508182228,2641.864186492166,-84,5,low,cloudy,18,5,692.7022365317378
393,6bb66354,2025-06-15T01:45:02.421883,cell_id,-6.35471870828804,106.69028332848166,-6.338241912881283,106.6903515087173,2759.1434893084906,-87,8,medium,clear,1,6,1832.1515503920466
394,123072c0,2025-07-11T09:24:02.421887,wifi,-6.205265192791408,106.84026920690411,-6.205390151212218,106.84030162569468,15.993144945663314,-84,6,low,rainy,9,4,14.349448062944056
395,12e12d9a,2025-07-10T08:01:02.421897,triangulation,-6.192227000804975,106.68774931759263,-6.193777987263922,106.68864769326612,313.1510982231642,-41,2,medium,clear,8,3,199.01237132200416
396,e0079370,2025-06-28T08:48:02.421902,cell_id,-6.235978393097066,106.66110474281453,-6.265519506874268,106.64637852903269,3936.111298626651,-76,1,high,rainy,8,5,3666.0073845946777
397,b557c8d3,2025-06-19T03:16:02.421907,gps,-6.142795469720888,106.6493164401544,-6.142919750894606,106.64931652930497,14.278108648288804,-78,8,medium,rainy,3,3,13.819439509591696
